01-01-2017,1:30:00,QUEENS,11372,40.7517871,-73.8846842,82 STREET,35 AVENUE,1,0,1,0,0,0,0,0,Unspecified,,,3590783,SPORT UTILITY / STATION WAGON,,
01-01-2017,1:30:00,MANHATTAN,10001,40.754584,-73.9991446,WEST 34 STREET,10 AVENUE,1,0,1,0,0,0,0,0,Unspecified,,,3591353,PASSENGER VEHICLE,,
01-01-2017,1:40:00,,,40.722496,-73.940414,,,0,0,0,0,0,0,0,0,Following Too Closely,Driver Inattention/Distraction,Unspecified,3590224,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
01-01-2017,1:42:00,BROOKLYN,11229,40.5993815,-73.9514043,AVENUE U,OCEAN AVENUE,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,3590453,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
01-01-2017,1:44:00,BROOKLYN,11212,40.6578584,-73.9164877,ROCKAWAY PARKWAY,WILLMOHR STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,3590263,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
01-01-2017,1:48:00,QUEENS,11414,40.6678948,-73.8420304,CROSS BAY BOULEVARD,153 AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,3589952,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
01-01-2017,1:50:00,QUEENS,11417,40.6822652,-73.8451332,WOODHAVEN BOULEVARD,103 AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,3589972,PASSENGER VEHICLE,PASSENGER VEHICLE,
01-01-2017,1:55:00,BROOKLYN,11208,40.6761306,-73.8848547,LIBERTY AVENUE,CLEVELAND STREET,0,0,0,0,0,0,0,0,Unspecified,,,3590543,SPORT UTILITY / STATION WAGON,,
01-01-2017,1:55:00,BROOKLYN,11205,40.6950048,-73.9524886,NOSTRAND AVENUE,MYRTLE AVENUE,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,,,3590907,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
01-01-2017,2:00:00,QUEENS,11385,40.7005934,-73.8545649,WOODHAVEN BOULEVARD,FOREST PARK DRIVE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,3590595,PASSENGER VEHICLE,PASSENGER VEHICLE,
01-01-2017,2:00:00,MANHATTAN,10002,40.7152349,-73.9908556,,,0,0,0,0,0,0,0,0,,,,3595037,PASSENGER VEHICLE,,
01-01-2017,2:00:00,MANHATTAN,10013,40.7172333,-74.0047906,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,3590720,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
01-01-2017,2:00:00,MANHATTAN,10016,40.7439442,-73.9836267,EAST 29 STREET,PARK AVENUE SOUTH,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,3591226,PASSENGER VEHICLE,PICK-UP TRUCK,
01-01-2017,2:00:00,MANHATTAN,10026,40.8029702,-73.9478531,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,3590922,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
01-01-2017,2:00:00,BRONX,10451,40.816535,-73.9282179,EAST 144 STREET,GRAND CONCOURSE,1,0,0,0,0,0,1,0,Unspecified,,,3591498,PASSENGER VEHICLE,,
01-01-2017,2:04:00,MANHATTAN,10024,40.7826486,-73.9731455,,,0,0,0,0,0,0,0,0,Passenger Distraction,Unspecified,,3590017,TAXI,TAXI,
01-01-2017,2:07:00,MANHATTAN,10032,40.8328656,-73.9420334,WEST 157 STREET,AMSTERDAM AVENUE,0,0,0,0,0,0,0,0,Following Too Closely,Driver Inattention/Distraction,,3590281,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
01-01-2017,2:10:00,STATEN ISLAND,10306,40.5744014,-74.0992969,LINCOLN AVENUE,OLDFIELD STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,3590024,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
01-01-2017,2:10:00,,,40.662556,-73.91963,TAPSCOTT STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,3609060,PASSENGER VEHICLE,,
01-01-2017,2:15:00,QUEENS,11434,40.6667525,-73.7799356,SOUTH CONDUIT AVENUE,ROCKAWAY BOULEVARD,0,1,0,1,0,0,0,0,Unsafe Speed,,,3590027,PASSENGER VEHICLE,,
