611018,01-01-2016,00:00:00,Indiana,Warrick,Flood,0,0,0,0,River/Stream Gage,,37.9369,-87.3961,37.935,-87.3748
611020,01-01-2016,00:00:00,Indiana,Vanderburgh,Flood,0,0,30000,0,River/Stream Gage,,37.92,-87.63,37.9144,-87.7004
611023,01-01-2016,00:00:00,Indiana,Posey,Flood,0,0,0,0,River/Stream Gage,,37.93,-87.9,37.8885,-87.8075
611163,01-01-2016,00:00:00,Indiana,Gibson,Flood,0,0,20000,0,River/Stream Gage,,38.4036,-87.7444,38.3493,-87.8137
611164,01-01-2016,00:00:00,Indiana,Pike,Flood,0,0,20000,0,River/Stream Gage,,38.5,-87.28,38.5106,-87.101
611165,01-01-2016,00:00:00,Indiana,Gibson,Flood,0,0,30000,0,River/Stream Gage,,38.4198,-87.6963,38.4999,-87.5535
611039,01-01-2016,00:00:00,Kentucky,Daviess,Flood,0,0,0,0,River/Stream Gage,,37.782,-87.1283,37.7753,-87.1269
611043,01-01-2016,00:00:00,Kentucky,Henderson,Flood,0,0,0,0,River/Stream Gage,,37.9141,-87.4932,37.9138,-87.58
611044,01-01-2016,00:00:00,Kentucky,Union,Flood,0,0,0,0,River/Stream Gage,,37.77,-87.9465,37.7617,-87.9554
611047,01-01-2016,00:00:00,Kentucky,Crittenden,Flood,0,0,0,0,River/Stream Gage,,37.43,-88.25,37.38,-88.3775
611049,01-01-2016,00:00:00,Kentucky,Livingston,Flood,0,0,0,0,River/Stream Gage,,37.135,-88.4151,37.1474,-88.409
611050,01-01-2016,00:00:00,Kentucky,Mccracken,Flood,0,0,10000,0,River/Stream Gage,,37.1061,-88.6116,37.1,-88.6445
611056,01-01-2016,00:00:00,Kentucky,Ballard,Flood,0,0,100000,0,River/Stream Gage,,37.13,-89.03,37.1494,-89.0887
611068,01-01-2016,00:00:00,Kentucky,Mclean,Flood,0,0,20000,0,River/Stream Gage,,37.53,-87.27,37.535,-87.2548
611073,01-01-2016,00:00:00,Kentucky,Muhlenberg,Flood,0,0,0,0,River/Stream Gage,,37.27,-86.98,37.27,-86.9873
611084,01-01-2016,00:00:00,Missouri,New Madrid,Flood,0,0,20000,0,River/Stream Gage,,36.5611,-89.4816,36.5826,-89.53
611085,01-01-2016,00:00:00,Missouri,Mississippi,Flood,0,0,100000,0,River/Stream Gage,,36.97,-89.15,36.9302,-89.1142
611087,01-01-2016,00:00:00,Missouri,Scott,Flood,0,0,500000,0,River/Stream Gage,,37.25,-89.52,37.0563,-89.4273
611090,01-01-2016,00:00:00,Missouri,Cape Girardeau,Flood,0,0,3000000,0,River/Stream Gage,,37.5567,-89.5702,37.3211,-89.5235
611091,01-01-2016,00:00:00,Missouri,Perry,Flood,0,0,250000,0,River/Stream Gage,,37.63,-89.58,37.8234,-89.7871
632331,01-01-2016,00:00:00,Missouri,Jefferson,Flood,0,0,0,0,Official NWS Observations,,38.3842,-90.3513,38.4574,-90.3289
632333,01-01-2016,00:00:00,Missouri,Franklin,Flood,0,0,0,0,Official NWS Observations,,38.699,-91.3685,38.2058,-91.3665
632343,01-01-2016,00:00:00,Missouri,St. Charles,Flood,0,0,0,0,Official NWS Observations,,38.549,-90.9625,38.7136,-90.5328
632344,01-01-2016,00:00:00,Missouri,Lincoln,Flood,0,0,0,0,Official NWS Observations,,38.9967,-91.2625,39.1385,-91.2581
632346,01-01-2016,00:00:00,Missouri,St. Louis,Flood,0,0,0,0,Official NWS Observations,,38.4713,-90.7361,38.6803,-90.7292
632349,01-01-2016,00:00:00,Missouri,Gasconade,Flood,0,0,0,0,Official NWS Observations,,38.4443,-91.6425,38.7039,-91.6405
615341,01-01-2016,00:00:00,Oklahoma,Le Flore,Flood,0,0,0,0,Official NWS Observations,,35.11,-94.65,35.28,-94.44
615344,01-01-2016,00:00:00,Oklahoma,Le Flore,Flood,0,0,0,0,Official NWS Observations,,35.03,-94.62,35.08,-94.61
615347,01-01-2016,00:00:00,Oklahoma,Okmulgee,Flood,0,0,0,0,Official NWS Observations,,35.72,-96.15,35.69,-96.16
613990,01-01-2016,19:00:00,Ohio,Warren,Heavy Rain,0,0,0,0,Law Enforcement,,39.356,-84.1317,39.356,-84.1317
618067,01-03-2016,13:30:00,Gulf Of Mexico,Hawk Channel From Ocean Reef To Craig Key Out To The Reef,Waterspout,0,0,0,0,Public,,24.8597,-80.6074,24.8597,-80.6074
617533,01-03-2016,16:00:00,Arkansas,St. Francis,Flood,0,1,0,0,Broadcast Media,,35.12,-90.7,35.1295,-90.6901
617370,01-04-2016,07:00:00,California,Shasta,Heavy Rain,0,0,0,0,Trained Spotter,,41.06,-122.36,41.06,-122.36
617372,01-04-2016,08:00:00,California,Shasta,Heavy Rain,0,0,0,0,Trained Spotter,,40.58,-122.38,40.58,-122.38
611033,01-04-2016,08:00:00,Indiana,Gibson,Flood,0,0,0,0,River/Stream Gage,,38.42,-87.58,38.3891,-87.5906
